id,name,tagline,first_brewed,description,image_url,abv,ibu,ebc,srm,ph,ingredients,food_pairing,contributed_by,malts,hops,yeast
251,Small Batch: Sorachi Ace Session,Sorachi Ace Belgian Pale.,2016,This brew is a pale ale fermented with Belgian yeast and spiced with coriander seed.,https://images.punkapi.com/v2/keg.png,4.0,25.0,15.0,7.62,5.1,"Pale Ale, Crisp Rye, Munich, Wheat, Acidulated Malt Sorachi Ace, Sorachi Ace Wyeast 1388 - Belgian Strong Ale™","Californian Sushi Roll, Parmesan and Rocket Pizza, Coconut Cake",John Jenkman,"Pale Ale, Crisp Rye, Munich, Wheat, Acidulated Malt","Sorachi Ace, Sorachi Ace",Wyeast 1388 - Belgian Strong Ale™
252,Small Batch: Dortmunder,Pale Lager.,2017,"A pale lager, with toasty biscuit malt balanced against a robust spicy bitterness.",https://images.punkapi.com/v2/keg.png,4.9,32.0,15.0,7.62,5.2,"Pilsner, Pale Ale Magnum, Sterling, Sterling Wyeast 2124 - Bohemian Lager™","Cajun Chicken Burger, Baked Brie, Tomato and Herb Bruschetta",John Jenkman,"Pilsner, Pale Ale","Magnum, Sterling, Sterling",Wyeast 2124 - Bohemian Lager™
253,Small Batch: 90 Shilling,Honeyed Spicy Malt.,2017,"A malt-forward Scotch ale with a complex but mellow mix of toast crust, caramel, hints of cocoa, and a light hop spiciness.",https://images.punkapi.com/v2/keg.png,5.3,25.0,40.0,20.32,4.2,"Propino Pale Malt, Premium English Caramalt, Munich, Amber, Dark Crystal, Brown Bramling Cross, First Gold, First Gold Wyeast 1056 - American Ale™","Game Terrine, Barbecue-griddled Poussin, Clootie Dumpling",John Jenkman,"Propino Pale Malt, Premium English Caramalt, Munich, Amber, Dark Crystal, Brown","Bramling Cross, First Gold, First Gold",Wyeast 1056 - American Ale™
254,Small Batch: Kellerbier,Crisp Unfiltered Goodness.,2017,"A pale lager, with toasty biscuit malt balances against a robust spicy bitterness.",https://images.punkapi.com/v2/keg.png,4.5,25.0,17.0,8.6,5.3,"Propino Pale Malt, Pilsner, Munich, Amber Perle, Hallertauer Mittelfrüh, Mandarina Bavaria Wyeast 2124 - Bohemian Lager™","Bratwurst and Mustard, Caraway Roast Pork, Gingerbread Cake",John Jenkman,"Propino Pale Malt, Pilsner, Munich, Amber","Perle, Hallertauer Mittelfrüh, Mandarina Bavaria",Wyeast 2124 - Bohemian Lager™
255,Small Batch: Tripel,Spiced Belgium Ale.,2017,Intense spicy and citrusy notes backed up with a bitter edge and a warming but dry malt biscuit backbone. This beer comes into its own after cellaring cool for a few weeks.,https://images.punkapi.com/v2/keg.png,13.0,50.0,23.0,11.6,5.1,"Pale Ale, Wheat Mandarina Bavaria, Mandarina Bavaria, Ginger Powder, Pink Peppercorns, Bitter Orange Peel, Oat Husks Wyeast 1388 - Belgian Strong Ale™","Coriander & Chilli Crab Cakes, Basil Pasta, Caramelised Orange Cheesecake",John Jenkman,"Pale Ale, Wheat","Mandarina Bavaria, Mandarina Bavaria, Ginger Powder, Pink Peppercorns, Bitter Orange Peel, Oat Husks",Wyeast 1388 - Belgian Strong Ale™
256,Small Batch: Vermont IPA,"Juicy, Tropical, Citrusy.",2017,"A vermont style IPA, with low background bitterness, loaded with intense juicy fruit character.",https://images.punkapi.com/v2/keg.png,6.9,35.0,15.0,7.62,4.2,"Pale Ale, Maris Otter, Wheat, Flaked Oats Chinook, Chinook, Amarillo, Simcoe, Citra, Amarillo, Mosaic, Simcoe Wyeast 1056 - American Ale™","Chicken Korma, Lobster Tail Salad, Chickpea and Apricot Tagine",John Jenkman,"Pale Ale, Maris Otter, Wheat, Flaked Oats","Chinook, Chinook, Amarillo, Simcoe, Citra, Amarillo, Mosaic, Simcoe",Wyeast 1056 - American Ale™
257,Semi Skimmed Occultist,Oatmeal Milk Stout.,2017,This one-off brew is packed with all the decadent flavours and textures associated with Imperial Stouts. This can features exclusive artwork by The Red Dress.,,8.0,70.0,160.0,81.28,4.1,"Pale Ale, Flaked Oats, Brown, Extra Dark Crystal, Wheat, Carafa Special Malt Type 1, Chocolate Magnum, Lactose, Coffee, Cacoa Nibs, Vanilla Wyeast 1272 - American Ale II™","Pan-Seared Venison with Blackberries, Fig Tart, Dark Chocolate and Coffee Torte",John Jenkman,"Pale Ale, Flaked Oats, Brown, Extra Dark Crystal, Wheat, Carafa Special Malt Type 1, Chocolate","Magnum, Lactose, Coffee, Cacoa Nibs, Vanilla",Wyeast 1272 - American Ale II™
258,Paradox Rye,Rye Whisky Barrel-Aged Imperial Stout.,2005,"In 2006 James and Martin hijacked a beer dinner run by Michael Jackson, the acclaimed beer and whisky writer, and convinced him to taste one of their home brews. This was a defining moment in BrewDog prehistory, and that beer was the first incarnation of the ubiquitous Paradox. Aged in a variety of casks over the years, Paradox is dark, decadent and encapsulating. Can be enjoyed fresh; phenomenal when aged.",,13.0,100.0,300.0,152.0,4.4,"Extra Pale, Caramalt, Munich, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3 Columbus, Columbus, Saaz, First Gold Wyeast 1272 - American Ale II™","Char-grilled Lamb Cutlets, BBQ Brisket, Chocolate and Strawberry Mousse",John Jenkman,"Extra Pale, Caramalt, Munich, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3","Columbus, Columbus, Saaz, First Gold",Wyeast 1272 - American Ale II™
259,Tropic Thunder,Island-Hopping Stout.,2016,"Tropic Thunder is the winner of the first ever #HomeBrewDog competition; the brainchild of Tom Doyle, this beer was the highest rated of the 307 beers that were tasted. A full-bodied and complex stout loaded with chocolate, mocha and roasty flavours, finishing with a vibrant burst of orange.",,7.0,25.0,170.0,86.36,4.2,"Propino Pale Malt, Medium Crystal, Extra Dark Crystal, Premium English Caramalt, Brown, Chocolate Magnum, Hallertauer Mittelfrüh, First Gold, Hallertauer Mittelfrüh, Sweet Orange Peel Wyeast 1272 - American Ale II™","Steak and Kidney Pie, Pork Carnitas, Chocolate Orange Brownies",John Jenkman,"Propino Pale Malt, Medium Crystal, Extra Dark Crystal, Premium English Caramalt, Brown, Chocolate","Magnum, Hallertauer Mittelfrüh, First Gold, Hallertauer Mittelfrüh, Sweet Orange Peel",Wyeast 1272 - American Ale II™
260,New England IPA,Vermont IPA,2017,"BrewDog vs Cloudwater is a 6.8% Vermont-style India Pale Ale, hopped with Mosaic in the whirlpool only. Without any big- hitting additions of hops in the boil, we carried the flavour by heavily dry-hopping the brew with Citra and Mosaic. We also used oats in the recipe to deliver the trademark smooth mouthfeel – and made it truly authentic by propagating a one-off culture of Vermont yeast, specifically for the brew.",,6.8,45.0,17.0,9.0,4.2,"Propino Pale Malt, Torrified Wheat, Flaked Oats Mosaic, Citra, Mosaic WLP4000 - Vermont Ale","Goat's Cheese Bruschetta, Pan-Fried Lemon Sole, Baked Peaches with Citrus Fruit Reduction",John Jenkman,"Propino Pale Malt, Torrified Wheat, Flaked Oats","Mosaic, Citra, Mosaic",WLP4000 - Vermont Ale
261,Small Batch: Nitro Breakfast Stout,Boozy Chocolate Milkshake.,2017,"An utterly indulgent, smooth as hell Stout. With opulent flavours of chocolate milkshake, roasty espresso coffee, and mellow vanilla, this beer has a full-bodied and creamy mouthfeel.",https://images.punkapi.com/v2/keg.png,8.0,80.0,88.0,44.7,5.2,"Extra Pale, Flaked Oats, Brown, Dark Crystal, Wheat, Carafa Special Malt Type 1 Magnum, Lactose, Vanilla Extract, Cacao Nibs, Coffee Wyeast 1272 - American Ale II™","Habanero Pulled Pork, Choc Chip Cookies,, Black Pudding Croquettes",John Jenkman,"Extra Pale, Flaked Oats, Brown, Dark Crystal, Wheat, Carafa Special Malt Type 1","Magnum, Lactose, Vanilla Extract, Cacao Nibs, Coffee",Wyeast 1272 - American Ale II™
262,Small Batch: Vermont IPA V2.0,"Juicy, Citrusy, Tropical.",2017,"A second trial of our previous Small Batch Vermont IPA using a different yeast strain. A vermont style IPA, with low background bitterness, loaded with intense juicy fruit characters.",https://images.punkapi.com/v2/keg.png,6.9,35.0,15.0,7.6,4.2,"Propino Pale Malt, Maris Otter, Wheat, Flaked Oats Chinook, Chinook, Amarillo, Simcoe, Citra, Amarillo, Mosaic, Simcoe WLP4000 - Vermont Ale","Chicken Korma, Lobster Salad, Chicken and Apricot Tagine",John Jenkman,"Propino Pale Malt, Maris Otter, Wheat, Flaked Oats","Chinook, Chinook, Amarillo, Simcoe, Citra, Amarillo, Mosaic, Simcoe",WLP4000 - Vermont Ale
263,Small Batch: Mandarina Lager,Pithy Pale Pilsner.,2017,"A bitter pils-style lager which is packed with aromas of citrus and a dry, refreshing biscuit malt backbone. Light floral notes add to the complexity.",https://images.punkapi.com/v2/keg.png,5.3,40.0,7.0,4.0,4.3,"Pilsner, Pale Ale Magnum, Mandarina Bavaria, Mandarina Bavaria Wyeast 2126 - Bohemian Lager™","Green Thai Curry, Fish Tacos, Goat's Cheese Salad With Walnuts, Radish And Blood Orange",John Jenkman,"Pilsner, Pale Ale","Magnum, Mandarina Bavaria, Mandarina Bavaria",Wyeast 2126 - Bohemian Lager™
264,Small Batch: East Coast Crush,Session Vermont IPA.,2017,"East Coast Crush is a Vermont style pale ale, packaged and served using our custom LIVE beer dispense. A session Vermont IPA, with low background bitterness, loaded with intense juicy mango, pineapple, peach and pine.",https://images.punkapi.com/v2/keg.png,4.8,25.0,15.0,8.0,4.2,"Pale Ale, Uncrushed Wheat, Flaked Oats Chinook, Mandarina Bavaria, Simcoe, Citra, Mandarina Bavaria, Mosaic, Simcoe Wyeast 1056 - American Ale™","Chickpea and Apricot Tagine, Pan-fried Lemon Sole, Lobster Salad",John Jenkman,"Pale Ale, Uncrushed Wheat, Flaked Oats","Chinook, Mandarina Bavaria, Simcoe, Citra, Mandarina Bavaria, Mosaic, Simcoe",Wyeast 1056 - American Ale™
265,Pump Action Poet,Stone Fruit IPA.,2017,A one-off beer which combines the sweet and juicy flavour of stonefruit with tropical hop aromas. This can features exclusive artwork by Tracie Ching.,,7.5,40.0,12.0,6.0,5.2,"Pale Ale, Wheat, Flaked Oats Amarillo, Simcoe, Apricot Juice, Peach Juice Wyeast 1056 - American Ale™","Citrus Salad, Spicy Chilli Prawns, Orange Zest Tart",John Jenkman,"Pale Ale, Wheat, Flaked Oats","Amarillo, Simcoe, Apricot Juice, Peach Juice",Wyeast 1056 - American Ale™
266,Small Batch: Lemon Meringue Pie,Experimental Dessert Beer.,2017,"Brewed to a concept voted on at Craft Beer Rising, this one-off beer is an experimental brew which emulates the flavour of lemon meringue pie.",,6.5,5.0,7.0,4.0,4.0,"Maris Otter, Dextrin Malt, Flaked Oats Amarillo, Sorachi Ace, Lemon Peel, Coriander Seeds, Lemon Concentrate Wyeast 1056 - American Ale™",Lemon Tart,John Jenkman,"Maris Otter, Dextrin Malt, Flaked Oats","Amarillo, Sorachi Ace, Lemon Peel, Coriander Seeds, Lemon Concentrate",Wyeast 1056 - American Ale™
267,AB:22,Speyside Barrel-Aged Coffee Chocolate Stout.,2017,"An imperial stout brewed with cacao and coffee, AB22 has spent two years in darkness, drawing complex and indulgent flavours from the Speyside whisky casks in which it resided.",,12.5,70.0,100.0,51.0,4.1,"Pale Ale, Golden Naked Oats, Medium Crystal, Brown, Carafa Special Malt Type 3 Columbus, American Oak Chips Medium Toast Soaked In Speyside Whisky, Black Pepper, Cardamon, Ginger, Nutmeg, Cinnamon, Star Anis Wyeast 1272 - American Ale II™","Roast Pheasant With Savoy Cabbage, Chilli Beer Tacos, Dark Chocolate Truffles",John Jenkman,"Pale Ale, Golden Naked Oats, Medium Crystal, Brown, Carafa Special Malt Type 3","Columbus, American Oak Chips Medium Toast Soaked In Speyside Whisky, Black Pepper, Cardamon, Ginger, Nutmeg, Cinnamon, Star Anis",Wyeast 1272 - American Ale II™
268,Hazy Jane,New England IPA.,2017,"A Vermont style IPA, with low background bitterness, loaded with juicy fruit character. Pine, stonefruit, mango, light resin and hints of lime peel - this juicy IPA is low in bitterness, full-bodied and smooth, enhancing the soft ripe fruit flavours.",,7.2,30.0,15.0,8.0,4.2,"Pale Ale, Maris Otter, Wheat, Flaked Oats Chinook, Chinook, Amarillo, Simcoe, Citra, Simcoe, Amarillo, Mosaic Wyeast 1056 - American Ale™","Goat's Cheese Bruschetta, Pan-Fried Lemon Sole, Baked Peaches With Citrus Fruit",John Jenkman,"Pale Ale, Maris Otter, Wheat, Flaked Oats","Chinook, Chinook, Amarillo, Simcoe, Citra, Simcoe, Amarillo, Mosaic",Wyeast 1056 - American Ale™
269,Small Batch: Imperial Pale Weizen,Dry-Hopped Wheat Beer.,2017,"An amplified version of a style we first brewed with Weihenstephan. A full-on deluge of spice and citrus, the new world hops bring spiced orange, lemon peel and fresh grassy and floral notes while the weizen base adds pepper, clove and banana.",https://images.punkapi.com/v2/keg.png,7.5,25.0,18.0,9.0,4.4,"Maris Otter, White Wheat, Extra Dark Crystal Magnum, Ariana, Cascade, Mandarina Bavaria, Ariana, Mandarina Bavaria WLP351 - Bavarian Weizen","Soft pretzel with mustard, Hot Smoked Salmon Salad, Rum Fried Banana",John Jenkman,"Maris Otter, White Wheat, Extra Dark Crystal","Magnum, Ariana, Cascade, Mandarina Bavaria, Ariana, Mandarina Bavaria",WLP351 - Bavarian Weizen
270,Blonde Export Stout,Beatnik Brewing Collective 2017.,2017,"Our Equity Punk gypsy brewery - Beatnik Brewing Collective - voted for this recipe as their 2017 annual brew. A blonde stout brewed to export strength, the stout character comes from extra ingredients instead of dark malts.",,7.0,55.0,16.0,8.0,4.4,"Pale Ale, Wheat, Flaked Oats, Smoked Malt Magnum, Mandarina Bavaria, Callista, Ground Coffee, Cocoa Nibs, Oak Chips, Vanilla Wyeast 1272 - American Ale II™","Duck Crackling, Coq Au Vin, Oreo Cheesecake",John Jenkman,"Pale Ale, Wheat, Flaked Oats, Smoked Malt","Magnum, Mandarina Bavaria, Callista, Ground Coffee, Cocoa Nibs, Oak Chips, Vanilla",Wyeast 1272 - American Ale II™
271,Small Batch: Cranachan Cream Ale,Raspberry Cream Ale.,2017,"A cream ale, brewed with raspberry and milk sugars, balancing sweet and tart summer berry with soft bitterness and a full bodied smooth mouthfeel.",https://images.punkapi.com/v2/keg.png,6.5,8.0,10.0,5.0,4.3,"Maris Otter, Torrified Wheat, Flaked Oats Amarillo, Citra, Mosaic, Milk Sugars, Raspberry Juice, Amarillo, Citra, Mosaic Wyeast 1272 - American Ale II™","Gingerbread Man, Feta And Tomato Salad With Balsamic Dressing, Raspberry Parfait",John Jenkman,"Maris Otter, Torrified Wheat, Flaked Oats","Amarillo, Citra, Mosaic, Milk Sugars, Raspberry Juice, Amarillo, Citra, Mosaic",Wyeast 1272 - American Ale II™
272,Small Batch: Spelt & Honey Saison,Honey & Spelt Saison,2017,"A pilot kit Small Batch, experimenting with weizen yeast, honey and spelt.",https://images.punkapi.com/v2/keg.png,5.2,22.0,8.0,4.0,4.1,"Maris Otter, Spelt, White Wheat, Pilsner Magnum, Mandarina Bavaria, Golden Honey WLP351 - Bavarian Weizen","Pancakes, Honey Mustard Chicken, Crème Brûlée",John Jenkman,"Maris Otter, Spelt, White Wheat, Pilsner","Magnum, Mandarina Bavaria, Golden Honey",WLP351 - Bavarian Weizen
273,Prototype Double IPA,American Hop Overload.,2017,Our Prototype Challenge sees us pit three new trial beers against each other. This Double IPA is packed with a blend of our favourite American hops and has a huge dry- hop aroma.,,8.5,60.0,15.0,8.0,4.2,"Pale Ale, Maris Otter Simcoe, Simcoe, Mosaic, Citra, Simcoe, Amarillo, Citra, Mosaic, Simcoe Wyeast 1272 - American Ale II™","Hot Wings And Blue Cheese Dip, Black Pudding Burger, Sticky Toffee Pudding And Salted Caramel Ice Cream",John Jenkman,"Pale Ale, Maris Otter","Simcoe, Simcoe, Mosaic, Citra, Simcoe, Amarillo, Citra, Mosaic, Simcoe",Wyeast 1272 - American Ale II™
274,Prototype Black Rye IPA,Complex Dark Ale,2017,"Our Prototype Challenge sees us pit three new trial beers against each other. This Black Rye IPA combines two spins on an American IPA, in the left-right jab combo of extra ingredients.",,6.5,70.0,135.0,69.0,4.5,"Pale Ale, Rye, Light Crystal, Chocolate Wheat, Carafa Special Malt Type 3 Simcoe, Chinook, Centennial, Simcoe, Citra, Chinook Wyeast 1272 - American Ale II™","Guacamole And Chips, Coriander Chicken Tostadas, Key Lime Pie",John Jenkman,"Pale Ale, Rye, Light Crystal, Chocolate Wheat, Carafa Special Malt Type 3","Simcoe, Chinook, Centennial, Simcoe, Citra, Chinook",Wyeast 1272 - American Ale II™
275,Sidewalk Shark,Citrus-Infused German Sour.,2017,"A citrus-infused gose - a traditional German sour wheat beer brewed with salt, in this case with the addition of kaffir lime leaf and lemon peel.",https://images.punkapi.com/v2/keg.png,5.2,22.0,7.0,4.0,3.8,"Pilsner, Torrified Wheat, Acidulated Malt, Rye, Flaked Oats Magnum, Mosaic, Amarillo, Lemon Peel, Coriander Seeds Wyeast 1272 - American Ale II™","Grilled Halibut, Pickled Herrings, Moules Frites",John Jenkman,"Pilsner, Torrified Wheat, Acidulated Malt, Rye, Flaked Oats","Magnum, Mosaic, Amarillo, Lemon Peel, Coriander Seeds",Wyeast 1272 - American Ale II™
276,Nine To Five Wizard,India Pale Weizen.,2017,"A classic German weissbeir with aromas of banana and clove, layered with New World hop aromas of orange.",,7.5,35.0,20.0,10.0,4.3,"Pale Ale, Wheat, Double Roasted Crystal Magnum, Cascade, Mandarina Bavaria, Ariana, Cascade, Mandarina Bavaria, Ariana Wyeast 3638 - Bavarian Wheat™","Grilled Portobello Mushroom Burger, Citrus Salad With Balsamic Dressing, Ginger And Orange Cookies",John Jenkman,"Pale Ale, Wheat, Double Roasted Crystal","Magnum, Cascade, Mandarina Bavaria, Ariana, Cascade, Mandarina Bavaria, Ariana",Wyeast 3638 - Bavarian Wheat™
277,Prototype Blonde Ale,Mellow Golden Ale.,2017,"This Blonde Ale is a new recipe and uses a new yeast - so it is a true Prototype. Originally lined up as part of the 2017 Prototype Challenge it was released shortly afterwards. but hey, these things happen.",,4.5,15.0,12.0,6.0,4.6,"Pale Ale, Wheat, Carapils Perle, Hallertauer Mittelfrüh WLP013 - London Ale","Salmon Salad, Montery Jack Cheese, Mandarin Cake",John Jenkman,"Pale Ale, Wheat, Carapils","Perle, Hallertauer Mittelfrüh",WLP013 - London Ale
278,AB:23,Bourbon Barrel-Aged Barley Wine.,2017,"Our Abstrakt series showcases one-off beers, brewed or blended to the peak of our abilities. Each release is unique and never to be repeated.",,11.5,80.0,80.0,41.0,4.1,"Extra Pale, Munich, Flaked Oats, Amber, Brown, Double Roasted Crystal Bramling Cross, Bramling Cross, Honey, American Oak Chips Medium Toast Soaked in Bourbon Wyeast 1272 - American Ale II™","Stilton and Walnut Welsh Rarebit., Cherry Chocolate Cake With Chocolate Whipped Mousse, Simnel Cake",John Jenkman,"Extra Pale, Munich, Flaked Oats, Amber, Brown, Double Roasted Crystal","Bramling Cross, Bramling Cross, Honey, American Oak Chips Medium Toast Soaked in Bourbon",Wyeast 1272 - American Ale II™
279,Slot Machine,Red Rye IPA.,2017,"Our Q4 Seasonal is a red rye IPA. This twist on an American IPA involves a more complex malt base, with the careful addition of rye - a grain known for its trickiness when brewing with anything above a tiny percentage.",,5.2,50.0,50.0,25.0,4.3,"Pale Ale, Rye, Medium Crystal, Carafa Special Malt Type 3 Magnum, Amarillo, Mandarina Bavaria, Amarillo, Hallertauer Blanc, Mandarina Bavaria, Amarillo, Hallertauer Blanc Wyeast 1056 - American Ale™","Barbeque and Mustard Beef on Rye Bread, Gooseberry and Plum Compote, Mature Wensleydale",John Jenkman,"Pale Ale, Rye, Medium Crystal, Carafa Special Malt Type 3","Magnum, Amarillo, Mandarina Bavaria, Amarillo, Hallertauer Blanc, Mandarina Bavaria, Amarillo, Hallertauer Blanc",Wyeast 1056 - American Ale™
280,Make Earth Great Again,Cloudberry Saison.,2017,"In protest against the potential withdrawal of the USA from the Paris agreement, we brewed a saison (which ferments at high temperatures) with melted ice caps (glacier water) and cloudberries (an Arctic berry).",,7.5,35.0,9.0,5.0,4.6,"Pilsner, Dextrose, White Wheat, Torrified Wheat Amarillo, Amarillo, Mandarina Bavaria, Amarillo, Mandarina Bavaria, Cloudberries Wyeast 3711 - French Saison™","Oysters With a Chilli And Dill Sauce, Raspberry Souffle",John Jenkman,"Pilsner, Dextrose, White Wheat, Torrified Wheat","Amarillo, Amarillo, Mandarina Bavaria, Amarillo, Mandarina Bavaria, Cloudberries",Wyeast 3711 - French Saison™
281,Homicidal Puppet Help Desk,Barrel-Aged Rye Barley Wine.,2017,"Indulgent, complex, and endlessly rewarding; packed with flavours of toffee, coconut, red berry, burnt sugar, marzipan, orange, cherry - American oak adds structure and depth to this chewy and warming barley wine brewed with rye and aged in rye whiskey cask.",,11.5,132.0,45.0,23.0,4.1,"Pale Ale, Rye, Brown Magnum, Galena, American Oak Chips Heavy Toast Soaked in Bourbon Wyeast 1272 - American Ale II™","Stilton and Walnut Welsh Rarebit., Cherry Chocolate Cake With Chocolate Whipped Mousse, Simnel Cake",John Jenkman,"Pale Ale, Rye, Brown","Magnum, Galena, American Oak Chips Heavy Toast Soaked in Bourbon",Wyeast 1272 - American Ale II™
282,Pina Colada Sidewalk,Pineapple & Coconut Gose.,2017,"After the success of the first version of Sidewalk Shark (a BrewDog bar exclusive), we decided to brew a second version, this time infused with tropical flavours of pineapple, coconut and lime.",https://images.punkapi.com/v2/keg.png,5.2,10.0,15.0,7.0,3.8,"Pilsner, Torrified Wheat, Acidulated Malt, Rye, Flaked Oats Magnum, Mosaic, Amarillo, Lemon Peel, Coriander Seed, Coconut Extract, Pineapple Juice Wyeast 1272 - American Ale II™","White Chocolate and Pistachio Cheesecake, Baked Tilapia With Lemon and Cream Sauce, Vegan Mac and ‘Cheese’",John Jenkman,"Pilsner, Torrified Wheat, Acidulated Malt, Rye, Flaked Oats","Magnum, Mosaic, Amarillo, Lemon Peel, Coriander Seed, Coconut Extract, Pineapple Juice",Wyeast 1272 - American Ale II™
283,AB:24,Coffee & Brown Sugar Baltic Porter.,2017,"Our latest concept beer, AB:24 is a huge Baltic Porter, brewed with coffee and muscovado sugar.",,11.5,50.0,220.0,112.0,4.4,"Pale Ale, Munich, Double Roasted Crystal, Chocolate Wheat, Flaked Oats, Medium Crystal, Oat Husks Magnum, Galena, Centennial, Muscovado Sugar, Ground Coffee, Cold Brew Coffee Wyeast 1272 - American Ale II™","S’mores with smoked marshmallows, Braised rabbit stew, Espresso brownies with burnt sugar ice cream",John Jenkman,"Pale Ale, Munich, Double Roasted Crystal, Chocolate Wheat, Flaked Oats, Medium Crystal, Oat Husks","Magnum, Galena, Centennial, Muscovado Sugar, Ground Coffee, Cold Brew Coffee",Wyeast 1272 - American Ale II™
284,Hello My Name Is Helga,Cherry Double IPA.,2017,"Brewed exclusively for the German market, this Hello My Name brew features a twist of flavour inspired by Germany.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Citra, Chinook, Centennial, Simcoe Wyeast 1272 - American Ale II™","Roast pork chops, Beef in port stew, Cherry frangipane tart",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Citra, Chinook, Centennial, Simcoe",Wyeast 1272 - American Ale II™
285,Hello My Name Is Sari,Bilberry Double IPA.,2017,"Brewed exclusively for the Finnish market, this Hello My Name brew features a twist of flavour inspired by Finland.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Blueberry Juice, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Steamed cod with ginger and spring onions, Blueberry muffins, Apple and blueberry pie",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Blueberry Juice, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
286,Hello My Name Is Aune,Stawberry Double IPA.,2017,"Brewed exclusively for the Norwegian market, this Hello My Name brew features a twist of flavour inspired by Norway.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Fresh Strawberries, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Spinach and feta salad, Balsamic-glazed salmon, Basil granita",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Fresh Strawberries, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
287,Hello My Name Is Marianne,Cassis Infused Double IPA.,2017,"Brewed exclusively for the French market, this Hello My Name brew features a twist of flavour inspired by France.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Blackcurrant Concentrate, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Smoked venison stew, Sloe gin mixer, Black forest gateau",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Blackcurrant Concentrate, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
288,Hello My Name Is Agnetha,Lingonberry Double IPA.,2017,"Brewed exclusively for the Swedish market, this Hello My Name brew features a twist of flavour inspired by Sweden.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Lingonberry Juice, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Pork meatballs, Game pie, Grilled goat’s cheese",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Lingonberry Juice, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
289,Hello My Name Is Lieke,Orange Infused Double IPA.,2017,"Brewed exclusively for the Dutch market, this Hello My Name brew features a twist of flavour inspired by the Netherlands.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Seville Orange Juice, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Peking duck, Pork and coriander stew, Almond pound cake",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Seville Orange Juice, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
290,Hello My Name Is Niamh,Elderflower Infused Double IPA.,2017,"Brewed exclusively for the Irish market, this Hello My Name brew features a twist of flavour inspired by Ireland.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Elderflower Concentrate, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Grilled sea bass fillet, Sushi maki, Summer fruit pudding",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Elderflower Concentrate, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
291,Hello My Name Is Sofia,Lemon Infused Double IPA.,2017,"Brewed exclusively for the Italian market, this Hello My Name brew features a twist of flavours inspired by Italy.",,8.2,70.0,15.0,8.0,4.4,"Pale Ale, Caramalt Simcoe, Chinook, Simcoe, Lemon Juice, Citra, Chinook, Simcoe, Centennial Wyeast 1272 - American Ale II™","Deep-fried calamari, Paneer skewers with cardamom, Plum cobbler",John Jenkman,"Pale Ale, Caramalt","Simcoe, Chinook, Simcoe, Lemon Juice, Citra, Chinook, Simcoe, Centennial",Wyeast 1272 - American Ale II™
